paper_id	title	local_dir	local_status	actual_local_dataset	actual_local_output
acl2023_definition_generation	Interpretable Word Sense Representations via Definition Generation: The Case of Semantic Change Analysis	/Users/sdf/Desktop/论文复现/reproduction_pack/acl2023_interpretable_definition_generation	runnable_core_plus_gold_trial_benchmark	nor_dia_change subset1 with [kjemi, damp, plattform]; CoDWoE English trial with 200 examples	/Users/sdf/Desktop/论文复现/reproduction_pack/acl2023_interpretable_definition_generation/artifacts/semantic_change_case/sense_labels.tsv; /Users/sdf/Desktop/论文复现/reproduction_pack/acl2023_interpretable_definition_generation/artifacts/codwoe_en_trial/en_trial_metrics.tsv
eacl2024_semantic_change_benchmark	Computational modeling of semantic change	/Users/sdf/Desktop/论文复现/reproduction_pack/eacl2024_semantic_change_benchmark	runnable_verified_subset	nordiachange_1 subset1 with [kjemi, egg, damp, fil, plattform]	/Users/sdf/Desktop/论文复现/reproduction_pack/eacl2024_semantic_change_benchmark/artifacts/result.json
